"daily.time","daily.summary","daily.icon","daily.sunriseTime","daily.sunsetTime","daily.moonPhase","daily.precipIntensity","daily.precipIntensityMax","daily.precipIntensityMaxTime","daily.precipProbability","daily.precipType","daily.temperatureHigh","daily.temperatureHighTime","daily.temperatureLow","daily.temperatureLowTime","daily.apparentTemperatureHigh","daily.apparentTemperatureHighTime","daily.apparentTemperatureLow","daily.apparentTemperatureLowTime","daily.dewPoint","daily.humidity","daily.pressure","daily.windSpeed","daily.windGust","daily.windGustTime","daily.windBearing","daily.cloudCover","daily.uvIndex","daily.uvIndexTime","daily.visibility","daily.temperatureMin","daily.temperatureMinTime","daily.temperatureMax","daily.temperatureMaxTime","daily.apparentTemperatureMin","daily.apparentTemperatureMinTime","daily.apparentTemperatureMax","daily.apparentTemperatureMaxTime","id","location","home.team","latitude","longitude","daily.precipAccumulation"
2011-08-13,"Partly cloudy until evening.","partly-cloudy-day",2011-08-13 05:46:13,2011-08-13 20:46:18,0.49,0.0018,0.017,2011-08-13 01:00:00,1,"rain",66.07,1313247600,56.65,1313298000,66.07,1313247600,56.65,1313298000,57.31,0.87,1003.35,3.22,12.83,1313251200,218,0.52,5,1313236800,6.15,58.13,2011-08-13 08:00:00,66.07,2011-08-13 16:00:00,58.23,2011-08-13 08:00:00,66.07,2011-08-13 16:00:00,"1112-01","Blackburn","Blackburn",53.72861111,-2.48916667,
2011-08-13,"Mostly cloudy throughout the day.","partly-cloudy-day",2011-08-13 05:44:42,2011-08-13 20:29:40,0.49,0.0025,0.0241,2011-08-13 05:00:00,0.9,"rain",70.3,1313236800,57.9,1313298000,70.3,1313236800,57.9,1313298000,58.29,0.82,1006.36,3.41,11.19,1313240400,233,0.67,6,1313236800,6.05,60.28,2011-08-13 23:00:00,70.3,2011-08-13 13:00:00,60.28,2011-08-13 23:00:00,70.3,2011-08-13 13:00:00,"1112-02","London","Fulham",51.35833333,-0.22166667,
2011-08-13,"Mostly cloudy until evening.","partly-cloudy-day",2011-08-13 05:49:06,2011-08-13 20:47:11,0.49,5e-04,0.0072,2011-08-13 01:00:00,0.63,"rain",66.9,1313244000,57.34,1313298000,66.9,1313244000,57.34,1313298000,56.13,0.81,1003.48,3.82,12.63,1313251200,221,0.5,5,1313236800,6.19,59.14,2011-08-13 23:00:00,66.9,2011-08-13 15:00:00,59.14,2011-08-13 23:00:00,66.9,2011-08-13 15:00:00,"1112-03","Liverpool","Liverpool",53.43083333,-2.96083333,
2011-08-13,"Mostly cloudy until evening.","partly-cloudy-day",2011-08-13 05:38:21,2011-08-13 20:47:13,0.49,0.0014,0.0199,2011-08-13 00:00:00,0.94,"rain",64.54,1313240400,55.82,1313294400,64.54,1313240400,55.82,1313294400,55.28,0.81,1001.46,5.03,13.47,1313244000,209,0.58,4,1313229600,5.85,56.81,2011-08-13 23:00:00,64.54,2011-08-13 14:00:00,56.81,2011-08-13 23:00:00,64.54,2011-08-13 14:00:00,"1112-04","Newcastle upon Tyne","Newcastle",54.97555556,-1.62166667,
2011-08-13,"Mostly cloudy throughout the day.","partly-cloudy-day",2011-08-13 05:44:18,2011-08-13 20:30:10,0.49,0.0027,0.0338,2011-08-13 05:00:00,1,"rain",70.45,1313236800,58.46,1313298000,70.45,1313236800,58.46,1313298000,58.14,0.8,1006.31,3.28,11.18,1313240400,235,0.68,6,1313236800,6.02,61.04,2011-08-13 23:00:00,70.45,2011-08-13 13:00:00,61.04,2011-08-13 23:00:00,70.45,2011-08-13 13:00:00,"1112-05","London","QPR",51.50916667,-0.23222222,
2011-08-13,"Partly cloudy until evening.","partly-cloudy-day",2011-08-13 05:47:29,2011-08-13 20:46:21,0.49,0.0011,0.0094,2011-08-13 01:00:00,0.73,"rain",66.98,1313244000,57.27,1313298000,66.98,1313244000,57.27,1313298000,56.79,0.82,1003.48,3.16,12.1,1313251200,220,0.51,5,1313236800,6.19,59.59,2011-08-13 23:00:00,66.98,2011-08-13 15:00:00,59.59,2011-08-13 23:00:00,66.98,2011-08-13 15:00:00,"1112-06","Wigan","Wigan",53.5475,-2.65416667,
2011-08-14,"Mostly cloudy throughout the day.","partly-cloudy-day",2011-08-14 05:49:07,2011-08-14 20:40:33,0.53,0,0,,0,,64.24,1313337600,48.13,1313384400,64.24,1313337600,48.13,1313384400,50.5,0.75,1006.26,1.58,10.17,1313326800,269,0.63,4,1313316000,6.22,53.52,2011-08-14 23:00:00,64.24,2011-08-14 17:00:00,53.52,2011-08-14 23:00:00,64.24,2011-08-14 17:00:00,"1112-07","Stoke-on-Trent","Stoke",52.98833333,-2.17555556,
2011-08-14,"Mostly cloudy in the morning.","partly-cloudy-day",2011-08-14 05:49:47,2011-08-14 20:38:11,0.53,0,0,,0,,67.55,1313337600,47.43,1313384400,67.55,1313337600,47.43,1313384400,48.73,0.67,1006.37,2.76,10.77,1313326800,270,0.52,6,1313323200,6.22,54.1,2011-08-14 05:00:00,67.55,2011-08-14 17:00:00,54.1,2011-08-14 05:00:00,67.55,2011-08-14 17:00:00,"1112-08","West Bromwich","West Brom",52.50916667,-1.96388889,
2011-08-15,"Light rain overnight.","rain",2011-08-15 05:49:22,2011-08-15 20:40:08,0.56,9e-04,0.0185,2011-08-15 23:00:00,0.84,"rain",66.62,1313420400,55.57,1313463600,66.62,1313420400,55.57,1313463600,49.16,0.73,1013.84,2.03,12.57,1313409600,251,0.35,6,1313413200,6.13,50.7,2011-08-15 05:00:00,66.62,2011-08-15 16:00:00,50.7,2011-08-15 05:00:00,66.62,2011-08-15 16:00:00,"1112-09","Manchester","Man City",53.48305556,-2.20027778,
2011-08-20,"Rain in the afternoon.","rain",2011-08-20 05:54:52,2011-08-20 20:15:50,0.71,0.0055,0.0652,2011-08-20 16:00:00,1,"rain",69.78,1313859600,57.25,1313899200,69.78,1313859600,57.25,1313899200,55.38,0.78,1018.56,2.09,8.41,1313841600,208,0.27,5,1313838000,6.18,57.13,2011-08-20 06:00:00,69.78,2011-08-20 18:00:00,57.13,2011-08-20 06:00:00,69.78,2011-08-20 18:00:00,"1112-10","London","Arsenal",51.555,-0.10861111,
