"daily.time","daily.summary","daily.icon","daily.sunriseTime","daily.sunsetTime","daily.moonPhase","daily.precipIntensity","daily.precipIntensityMax","daily.precipProbability","daily.temperatureHigh","daily.temperatureHighTime","daily.temperatureLow","daily.temperatureLowTime","daily.apparentTemperatureHigh","daily.apparentTemperatureHighTime","daily.apparentTemperatureLow","daily.apparentTemperatureLowTime","daily.dewPoint","daily.humidity","daily.pressure","daily.windSpeed","daily.windGust","daily.windGustTime","daily.windBearing","daily.cloudCover","daily.uvIndex","daily.uvIndexTime","daily.visibility","daily.temperatureMin","daily.temperatureMinTime","daily.temperatureMax","daily.temperatureMaxTime","daily.apparentTemperatureMin","daily.apparentTemperatureMinTime","daily.apparentTemperatureMax","daily.apparentTemperatureMaxTime","id","location","home.team","latitude","longitude","daily.precipIntensityMaxTime","daily.precipType","daily.precipAccumulation"
2017-05-21,"Partly cloudy until evening.","partly-cloudy-day",2017-05-21 05:03:33,2017-05-21 21:16:18,0.84,0,0,0,64.21,1495382400,52.56,1495425600,64.21,1495382400,52.56,1495425600,46.79,0.72,1020.03,4.87,13.21,1495382400,164,0.27,6,1495371600,6.22,47.06,2017-05-21 04:00:00,64.21,2017-05-21 17:00:00,46,2017-05-21 03:00:00,64.21,2017-05-21 17:00:00,"1617-01","Liverpool","Liverpool",53.43083333,-2.96083333,,,
2017-05-07,"Partly cloudy in the evening.","partly-cloudy-day",2017-05-07 05:26:18,2017-05-07 20:53:03,0.4,0,0,0,60.41,1494162000,39.1,1494219600,60.41,1494162000,39.1,1494219600,44,0.74,1022.49,3.2,13.3,1494176400,324,0.25,6,1494158400,6.22,41.03,2017-05-07 06:00:00,60.41,2017-05-07 14:00:00,41.03,2017-05-07 06:00:00,60.41,2017-05-07 14:00:00,"1617-02","Liverpool","Liverpool",53.43083333,-2.96083333,,,
2017-04-23,"Mostly cloudy starting in the evening.","partly-cloudy-night",2017-04-23 05:54:35,2017-04-23 20:27:51,0.89,0,0,0,54.66,1492959600,48.52,1492981200,54.66,1492959600,46.26,1492992000,40.51,0.73,1026.22,3.71,12.63,1492966800,296,0.32,6,1492948800,6.22,43.68,2017-04-23 06:00:00,54.66,2017-04-23 16:00:00,43.68,2017-04-23 06:00:00,54.66,2017-04-23 16:00:00,"1617-03","Liverpool","Liverpool",53.43083333,-2.96083333,,,
2017-04-05,"Mostly cloudy throughout the day.","partly-cloudy-day",2017-04-05 06:35:56,2017-04-05 19:55:07,0.31,0,0,0,50.52,1491393600,41.56,1491451200,50.52,1491393600,41.56,1491451200,41.61,0.79,1032.6,7.14,14.65,1491386400,299,0.5,4,1491393600,6.22,44.63,2017-04-05 00:00:00,50.52,2017-04-05 13:00:00,41.96,2017-04-05 05:00:00,50.52,2017-04-05 13:00:00,"1617-04","Liverpool","Liverpool",53.43083333,-2.96083333,,,
2017-04-01,"Light rain until afternoon.","rain",2017-04-01 06:45:34,2017-04-01 19:47:53,0.16,0.0032,0.025,0.92,54.34,1491062400,45.13,1491112800,54.34,1491062400,42.52,1491112800,46.84,0.88,1007.89,2.51,10.65,1491058800,280,0.51,3,1491044400,5.97,47.9,2017-04-01 23:00:00,54.34,2017-04-01 17:00:00,45.35,2017-04-01 23:00:00,54.34,2017-04-01 17:00:00,"1617-05","Liverpool","Liverpool",53.43083333,-2.96083333,2017-04-01 10:00:00,"rain",
2017-03-12,"Mostly cloudy until evening.","partly-cloudy-day",2017-03-12 06:34:11,2017-03-12 18:11:33,0.5,2e-04,0.0017,0.59,52.75,1489316400,38.99,1489388400,52.75,1489316400,38.99,1489388400,46.11,0.91,1015.38,2.68,12.34,1489334400,286,0.6,2,1489312800,5.7,43.67,2017-03-12 23:00:00,52.75,2017-03-12 11:00:00,42.43,2017-03-12 23:00:00,52.75,2017-03-12 11:00:00,"1617-06","Liverpool","Liverpool",53.43083333,-2.96083333,2017-03-12 15:00:00,"rain",
2017-03-04,"Partly cloudy throughout the day.","partly-cloudy-day",2017-03-04 06:53:14,2017-03-04 17:56:37,0.21,1e-04,0.0016,0.32,49.98,1488632400,41.22,1488697200,47.66,1488628800,37.44,1488697200,40.89,0.84,985.19,4.82,14.54,1488636000,165,0.44,2,1488625200,6.22,42,2017-03-04 07:00:00,49.98,2017-03-04 13:00:00,39.14,2017-03-04 23:00:00,47.66,2017-03-04 12:00:00,"1617-07","Liverpool","Liverpool",53.43083333,-2.96083333,2017-03-04 18:00:00,"rain",
2017-02-11,"Mostly cloudy throughout the day.","partly-cloudy-day",2017-02-11 07:39:06,2017-02-11 17:15:47,0.52,0,0,0,39.96,1486821600,36.97,1486886400,35.89,1486821600,30.59,1486886400,33.42,0.84,1027.45,6.09,13.66,1486789200,14,0.73,1,1486807200,6.16,35.45,2017-02-11 01:00:00,39.96,2017-02-11 14:00:00,29.72,2017-02-11 02:00:00,35.89,2017-02-11 14:00:00,"1617-08","Liverpool","Liverpool",53.43083333,-2.96083333,,,
2017-01-31,"Light rain starting in the evening.","rain",2017-01-31 07:59:06,2017-01-31 16:54:00,0.12,0.0039,0.03,0.93,49.61,1485878400,46.25,1485936000,48.81,1485889200,44.52,1485936000,44.58,0.95,1007.92,6.17,14.51,1485846000,143,0.83,1,1485860400,5.43,43.05,2017-01-31 00:00:00,49.61,2017-01-31 16:00:00,37.9,2017-01-31 00:00:00,48.81,2017-01-31 19:00:00,"1617-09","Liverpool","Liverpool",53.43083333,-2.96083333,2017-01-31 21:00:00,"rain",
2017-01-21,"Mostly cloudy throughout the day.","partly-cloudy-night",2017-01-21 08:13:41,2017-01-21 16:35:00,0.8,0,0,0,38.84,1485010800,32.91,1485064800,38.8,1485021600,28.79,1485064800,32.15,0.87,1028.52,2.46,7.51,1485010800,119,0.43,1,1485000000,5.83,30.9,2017-01-21 08:00:00,38.84,2017-01-21 15:00:00,30.9,2017-01-21 08:00:00,38.8,2017-01-21 18:00:00,"1617-10","Liverpool","Liverpool",53.43083333,-2.96083333,,,
