"daily.time","daily.summary","daily.icon","daily.sunriseTime","daily.sunsetTime","daily.moonPhase","daily.precipIntensity","daily.precipIntensityMax","daily.precipIntensityMaxTime","daily.precipProbability","daily.precipType","daily.temperatureHigh","daily.temperatureHighTime","daily.temperatureLow","daily.temperatureLowTime","daily.apparentTemperatureHigh","daily.apparentTemperatureHighTime","daily.apparentTemperatureLow","daily.apparentTemperatureLowTime","daily.dewPoint","daily.humidity","daily.pressure","daily.windSpeed","daily.windGust","daily.windGustTime","daily.windBearing","daily.cloudCover","daily.uvIndex","daily.uvIndexTime","daily.visibility","daily.temperatureMin","daily.temperatureMinTime","daily.temperatureMax","daily.temperatureMaxTime","daily.apparentTemperatureMin","daily.apparentTemperatureMinTime","daily.apparentTemperatureMax","daily.apparentTemperatureMaxTime","id","location","home.team","latitude","longitude","daily.precipAccumulation"
2009-11-21,"Rain starting in the afternoon, continuing until evening.","rain",2009-11-21 07:41:29,2009-11-21 16:08:17,0.15,0.0187,0.125,2009-11-21 19:00:00,1,"rain",56.26,1258808400,45.91,1258876800,56.26,1258808400,41.5,1258873200,50.52,0.96,1009.67,7.54,18.09,1258815600,165,0.61,1,1258801200,4.11,44.63,2009-11-21 00:00:00,56.26,2009-11-21 13:00:00,43.59,2009-11-21 03:00:00,56.26,2009-11-21 13:00:00,"0910-56","Birmingham","Birmingham",52.47583333,-1.86805556,
2009-12-26,"Mostly cloudy in the morning.","partly-cloudy-night",2009-12-26 08:19:03,2009-12-26 15:59:42,0.31,0.0019,0.0112,2009-12-26 05:00:00,1,"rain",44.48,1261836000,38.5,1261882800,40.85,1261832400,32.63,1261886400,38.57,0.91,997.52,6.46,12.91,1261803600,196,0.38,0,1261785600,6.22,38.55,2009-12-26 20:00:00,44.48,2009-12-26 14:00:00,33.74,2009-12-26 20:00:00,40.85,2009-12-26 13:00:00,"0910-57","Birmingham","Birmingham",52.47583333,-1.86805556,
2009-08-15,"Partly cloudy throughout the day.","partly-cloudy-day",2009-08-15 05:50:35,2009-08-15 20:41:03,0.81,0.002,0.012,2009-08-15 18:00:00,0.77,"rain",68.86,1250344800,56.32,1250398800,69,1250344800,56.32,1250398800,58.78,0.83,1008.73,8.24,19.91,1250348400,224,0.47,5,1250337600,6.04,60.8,2009-08-15 23:00:00,68.86,2009-08-15 15:00:00,60.8,2009-08-15 23:00:00,69,2009-08-15 15:00:00,"0910-58","Blackburn","Blackburn",53.72861111,-2.48916667,
2009-12-19,"Mixed precipitation in the evening.","rain",2009-12-19 08:25:40,2009-12-19 15:51:19,0.09,0.0042,0.0493,2009-12-19 20:00:00,1,"snow",37.11,1261245600,23.62,1261288800,33.13,1261242000,23.54,1261270800,25.11,0.86,1010.12,1.33,14.03,1261252800,272,0.43,0,1261180800,5.94,21.69,2009-12-19 08:00:00,37.11,2009-12-19 18:00:00,21.69,2009-12-19 08:00:00,33.13,2009-12-19 17:00:00,"0910-59","Blackburn","Blackburn",53.72861111,-2.48916667,0.253
2009-11-28,"Partly cloudy throughout the day.","partly-cloudy-day",2009-11-28 08:01:21,2009-11-28 15:57:40,0.36,6e-04,0.0134,2009-11-28 07:00:00,0.38,"rain",43.29,1259416800,37.88,1259438400,43.29,1259416800,31.8,1259456400,37.04,0.92,990.74,2.01,11.18,1259442000,87,0.5,0,1259366400,5.81,37.88,2009-11-28 20:00:00,43.29,2009-11-28 14:00:00,33.69,2009-11-28 21:00:00,43.29,2009-11-28 14:00:00,"0910-60","Blackburn","Blackburn",53.72861111,-2.48916667,
2010-03-24,"Mostly cloudy throughout the day.","partly-cloudy-day",2010-03-24 06:03:41,2010-03-24 18:31:11,0.29,6e-04,0.0073,2010-03-24 05:00:00,0.55,"rain",52.61,1269439200,47.77,1269468000,52.61,1269439200,46.44,1269493200,45.6,0.88,1002.95,5.05,17.54,1269428400,161,0.64,3,1269428400,5.93,46.35,2010-03-24 04:00:00,52.61,2010-03-24 14:00:00,42.82,2010-03-24 04:00:00,52.61,2010-03-24 14:00:00,"0910-61","Blackburn","Blackburn",53.72861111,-2.48916667,
2009-12-28,"Foggy in the morning.","fog",2009-12-28 08:28:45,2009-12-28 15:56:52,0.38,0,0,,0,,35.8,1262008800,32.05,1262037600,35.8,1262008800,27.9,1262059200,30.67,0.93,1004.73,0.94,4.83,1262041200,89,0.36,0,1261958400,3.51,29.69,2009-12-28 09:00:00,35.8,2009-12-28 14:00:00,29.69,2009-12-28 09:00:00,35.8,2009-12-28 14:00:00,"0910-62","Blackburn","Blackburn",53.72861111,-2.48916667,
2010-03-21,"Foggy in the morning.","fog",2010-03-21 06:11:06,2010-03-21 18:25:40,0.18,5e-04,0.01,2010-03-21 20:00:00,0.8,"rain",53.18,1269183600,46.36,1269212400,53.18,1269183600,43.54,1269244800,38.64,0.82,1014.19,3.09,11.31,1269176400,205,0.36,3,1269172800,4.5,34.65,2010-03-21 03:00:00,53.18,2010-03-21 15:00:00,34.65,2010-03-21 03:00:00,53.18,2010-03-21 15:00:00,"0910-63","Blackburn","Blackburn",53.72861111,-2.48916667,
2010-02-10,"Partly cloudy until afternoon.","partly-cloudy-day",2010-02-10 07:40:38,2010-02-10 17:10:27,0.89,0,0,,0,,38.37,1265806800,26.8,1265864400,33.14,1265803200,22.46,1265857200,26.62,0.75,1020.77,4.49,14.59,1265806800,12,0.38,1,1265796000,6.22,29.51,2010-02-10 23:00:00,38.37,2010-02-10 13:00:00,27.6,2010-02-10 19:00:00,33.4,2010-02-10 02:00:00,"0910-64","Blackburn","Blackburn",53.72861111,-2.48916667,
2009-11-07,"Light rain in the morning.","rain",2009-11-07 07:23:09,2009-11-07 16:26:47,0.67,0.0092,0.0326,2009-11-07 09:00:00,1,"rain",47.61,1257598800,42.4,1257663600,45.08,1257606000,40.96,1257667200,41.1,0.9,991.11,3.09,16.49,1257598800,190,0.44,1,1257588000,6.14,41.18,2009-11-07 06:00:00,47.61,2009-11-07 13:00:00,37.86,2009-11-07 06:00:00,45.08,2009-11-07 15:00:00,"0910-65","Blackburn","Blackburn",53.72861111,-2.48916667,
