"daily.time","daily.summary","daily.icon","daily.sunriseTime","daily.sunsetTime","daily.moonPhase","daily.precipIntensity","daily.precipIntensityMax","daily.precipIntensityMaxTime","daily.precipProbability","daily.temperatureHigh","daily.temperatureHighTime","daily.temperatureLow","daily.temperatureLowTime","daily.apparentTemperatureHigh","daily.apparentTemperatureHighTime","daily.apparentTemperatureLow","daily.apparentTemperatureLowTime","daily.dewPoint","daily.humidity","daily.pressure","daily.windSpeed","daily.windGust","daily.windGustTime","daily.windBearing","daily.cloudCover","daily.uvIndex","daily.uvIndexTime","daily.visibility","daily.temperatureMin","daily.temperatureMinTime","daily.temperatureMax","daily.temperatureMaxTime","daily.apparentTemperatureMin","daily.apparentTemperatureMinTime","daily.apparentTemperatureMax","daily.apparentTemperatureMaxTime","id","location","home.team","latitude","longitude","daily.precipType","daily.precipAccumulation"
2017-12-02,"Mostly cloudy throughout the day.","partly-cloudy-day",2017-12-02 07:59:16,2017-12-02 15:58:30,0.45,0.001,0.0052,2017-12-02 22:00:00,0.83,44.02,1512234000,43.3,1512252000,44.02,1512234000,41.94,1512262800,38.82,0.94,1026.8,1.45,4.77,1512255600,274,0.72,0,1512172800,4.96,36,2017-12-02 01:00:00,44.02,2017-12-02 17:00:00,36,2017-12-02 01:00:00,44.02,2017-12-02 17:00:00,"1718-321","West Bromwich","West Brom",52.50916667,-1.96388889,"rain",
2017-12-17,"Light rain in the afternoon.","rain",2017-12-17 08:15:26,2017-12-17 15:55:28,0.97,0.0042,0.0493,2017-12-17 12:00:00,1,48.37,1513537200,35.24,1513580400,47.38,1513537200,35.24,1513580400,38.37,0.97,1021.42,2.05,11.42,1513515600,237,0.68,0,1513468800,4.76,30.71,2017-12-17 03:00:00,48.37,2017-12-17 19:00:00,30.71,2017-12-17 03:00:00,47.38,2017-12-17 19:00:00,"1718-322","West Bromwich","West Brom",52.50916667,-1.96388889,"rain",
2017-12-26,"Mixed precipitation (1–2 in. of snow) starting in the evening.","snow",2017-12-26 08:19:36,2017-12-26 15:59:56,0.26,0.0121,0.0677,2017-12-26 21:00:00,1,42.3,1514293200,33.22,1514347200,40.82,1514300400,27.41,1514332800,36.03,0.93,992.17,1.8,11.16,1514268000,214,0.47,0,1514246400,5.25,33.41,2017-12-26 23:00:00,42.3,2017-12-26 13:00:00,28.57,2017-12-26 23:00:00,40.82,2017-12-26 15:00:00,"1718-323","West Bromwich","West Brom",52.50916667,-1.96388889,"rain",
2018-05-13,"Partly cloudy in the morning.","partly-cloudy-day",2018-05-13 05:11:37,2018-05-13 21:01:40,0.92,0.0018,0.013,2018-05-13 01:00:00,0.76,62.41,1526223600,40.97,1526266800,62.41,1526223600,40.97,1526266800,42.27,0.68,1014.63,2.8,10.57,1526212800,293,0.34,6,1526209200,6.11,46.58,2018-05-13 06:00:00,62.41,2018-05-13 16:00:00,46.58,2018-05-13 06:00:00,62.41,2018-05-13 16:00:00,"1718-324","Burnley","Burnley",53.78916667,-2.23027778,"rain",
2018-04-28,"Partly cloudy throughout the day.","partly-cloudy-day",2018-04-28 05:40:23,2018-04-28 20:34:45,0.45,0,0,,0,50.46,1524931200,39.83,1524978000,50.46,1524931200,39.83,1524978000,38.48,0.8,1012.36,1.95,8,1524913200,50,0.55,5,1524913200,6.18,38.63,2018-04-28 06:00:00,50.46,2018-04-28 17:00:00,38.63,2018-04-28 06:00:00,50.46,2018-04-28 17:00:00,"1718-325","Burnley","Burnley",53.78916667,-2.23027778,,
2018-04-19,"Partly cloudy in the evening.","partly-cloudy-day",2018-04-19 06:00:07,2018-04-19 20:18:06,0.12,0,0,,0,74.61,1524150000,49.56,1524204000,74.61,1524150000,48.46,1524200400,50.57,0.65,1022.95,1.56,10.49,1524168000,266,0.04,6,1524142800,6.22,53.09,2018-04-19 23:00:00,74.61,2018-04-19 16:00:00,53.09,2018-04-19 23:00:00,74.61,2018-04-19 16:00:00,"1718-326","Burnley","Burnley",53.78916667,-2.23027778,,
2018-04-14,"Mostly cloudy until evening.","partly-cloudy-day",2018-04-14 06:11:38,2018-04-14 20:08:51,0.94,0,0,,0,59.29,1523725200,45.34,1523768400,59.29,1523725200,45.34,1523768400,43.81,0.78,1015.04,1.28,7.24,1523743200,183,0.61,4,1523707200,5.33,45.29,2018-04-14 07:00:00,59.29,2018-04-14 18:00:00,45.29,2018-04-14 07:00:00,59.29,2018-04-14 18:00:00,"1718-327","Burnley","Burnley",53.78916667,-2.23027778,,
2018-03-03,"Mostly cloudy throughout the day.","partly-cloudy-day",2018-03-03 06:53:39,2018-03-03 17:50:54,0.56,0,0,,0,32.06,1520089200,30.52,1520110800,26.91,1520089200,24.47,1520110800,26.06,0.85,996.46,7.06,24.49,1520035200,84,0.78,2,1520074800,3.25,28.11,2018-03-03 04:00:00,32.06,2018-03-03 15:00:00,19.26,2018-03-03 04:00:00,26.91,2018-03-03 15:00:00,"1718-328","Burnley","Burnley",53.78916667,-2.23027778,,
2018-02-24,"Partly cloudy throughout the day.","partly-cloudy-day",2018-02-24 07:09:51,2018-02-24 17:37:18,0.3,0,0,,0,42.7,1519484400,32.24,1519542000,37.93,1519480800,27.61,1519534800,26.87,0.72,1024.86,6.65,15.9,1519470000,102,0.4,2,1519473600,6.2,31.37,2018-02-24 07:00:00,42.7,2018-02-24 15:00:00,26.12,2018-02-24 06:00:00,37.93,2018-02-24 14:00:00,"1718-329","Burnley","Burnley",53.78916667,-2.23027778,,
2018-02-03,"Mostly cloudy throughout the day.","partly-cloudy-day",2018-02-03 07:52:45,2018-02-03 16:55:16,0.61,0.0041,0.0081,2018-02-03 11:00:00,0.82,37.05,1517670000,33.05,1517727600,37.05,1517670000,33.05,1517727600,34.12,0.93,1008.09,0.48,5.68,1517695200,13,0.74,1,1517655600,4.28,34.67,2018-02-03 00:00:00,37.05,2018-02-03 15:00:00,33.62,2018-02-03 19:00:00,37.05,2018-02-03 15:00:00,"1718-330","Burnley","Burnley",53.78916667,-2.23027778,"rain",
2018-01-20,"Mostly cloudy throughout the day.","partly-cloudy-night",2018-01-20 08:13:55,2018-01-20 16:28:12,0.11,8e-04,0.0043,2018-01-20 15:00:00,0.57,36.18,1516449600,32.72,1516492800,36.18,1516449600,32.72,1516492800,32.51,0.92,1002.88,1.65,5.58,1516406400,259,0.44,1,1516449600,5.95,32.82,2018-01-20 23:00:00,36.18,2018-01-20 12:00:00,31.08,2018-01-20 18:00:00,36.18,2018-01-20 12:00:00,"1718-331","Burnley","Burnley",53.78916667,-2.23027778,"rain",
2018-01-01,"Light rain starting in the afternoon, continuing until evening.","rain",2018-01-01 08:27:47,2018-01-01 15:59:31,0.48,0.0046,0.051,2018-01-01 17:00:00,1,43.06,1514815200,37.9,1514876400,39.86,1514811600,35.69,1514880000,37.13,0.85,993.58,5.72,16.82,1514826000,252,0.48,0,1514764800,6.12,39.44,2018-01-01 02:00:00,43.06,2018-01-01 14:00:00,33.7,2018-01-01 02:00:00,39.86,2018-01-01 13:00:00,"1718-332","Burnley","Burnley",53.78916667,-2.23027778,"rain",
2017-12-23,"Mostly cloudy throughout the day.","partly-cloudy-day",2017-12-23 08:26:58,2017-12-23 15:51:49,0.16,4e-04,0.0027,2017-12-23 02:00:00,0.66,46.78,1514012400,45.2,1514059200,44.57,1514019600,41.05,1514059200,44.72,0.94,1029.68,5.6,10.61,1514005200,264,0.76,0,1513987200,5.37,45.2,2017-12-23 20:00:00,47.64,2017-12-23 03:00:00,41.05,2017-12-23 20:00:00,45.55,2017-12-23 05:00:00,"1718-333","Burnley","Burnley",53.78916667,-2.23027778,"rain",
2017-12-12,"Mostly cloudy starting in the evening.","partly-cloudy-night",2017-12-12 08:19:18,2017-12-12 15:49:04,0.82,8e-04,0.0097,2017-12-12 21:00:00,0.68,35.56,1513105200,35.8,1513108800,34.56,1513087200,31.54,1513108800,28.64,0.89,1003.63,2.48,17.58,1513116000,221,0.31,0,1513036800,5.97,25.97,2017-12-12 06:00:00,37.37,2017-12-12 23:00:00,25.97,2017-12-12 06:00:00,34.56,2017-12-12 14:00:00,"1718-334","Burnley","Burnley",53.78916667,-2.23027778,"snow",0
2017-12-09,"Partly cloudy throughout the day.","partly-cloudy-night",2017-12-09 08:16:03,2017-12-09 15:49:38,0.72,1e-04,8e-04,2017-12-09 21:00:00,0.12,34.1,1512828000,31.08,1512878400,34.01,1512831600,30.03,1512860400,28.32,0.85,1012.28,2.51,7.04,1512777600,262,0.38,0,1512777600,5.95,30.29,2017-12-09 06:00:00,34.1,2017-12-09 14:00:00,27.19,2017-12-09 08:00:00,34.01,2017-12-09 15:00:00,"1718-335","Burnley","Burnley",53.78916667,-2.23027778,"snow",0.008
2017-11-26,"Light rain overnight.","rain",2017-11-26 07:57:26,2017-11-26 15:58:12,0.25,0.0041,0.0114,2017-11-26 01:00:00,0.83,41.22,1511704800,41.12,1511726400,39.07,1511722800,38.98,1511733600,36,0.87,1019.5,3.97,12.67,1511658000,264,0.51,0,1511654400,6.04,36.68,2017-11-26 08:00:00,43.12,2017-11-26 23:00:00,32.86,2017-11-26 00:00:00,39.86,2017-11-26 23:00:00,"1718-336","Burnley","Burnley",53.78916667,-2.23027778,"rain",
2017-11-18,"Partly cloudy throughout the day.","partly-cloudy-day",2017-11-18 07:43:21,2017-11-18 16:07:50,0.01,0,0,,0,47.65,1511010000,32.26,1511078400,45.85,1511006400,32.26,1511078400,38.49,0.8,1020.3,4.2,11.8,1510981200,273,0.56,1,1511002800,6.22,39.02,2017-11-18 23:00:00,47.65,2017-11-18 13:00:00,39.02,2017-11-18 23:00:00,45.85,2017-11-18 12:00:00,"1718-337","Burnley","Burnley",53.78916667,-2.23027778,,
2017-10-30,"Partly cloudy overnight.","partly-cloudy-night",2017-10-30 07:06:50,2017-10-30 16:40:41,0.33,0,0,,0,48.36,1509372000,45.3,1509400800,47.52,1509372000,43.18,1509400800,36.16,0.83,1030.24,1.41,6.98,1509375600,233,0.07,1,1509357600,6.2,33.49,2017-10-30 07:00:00,48.36,2017-10-30 14:00:00,33.49,2017-10-30 07:00:00,47.52,2017-10-30 14:00:00,"1718-338","Burnley","Burnley",53.78916667,-2.23027778,,
