"daily.time","daily.summary","daily.icon","daily.sunriseTime","daily.sunsetTime","daily.moonPhase","daily.precipIntensity","daily.precipIntensityMax","daily.precipIntensityMaxTime","daily.precipProbability","daily.precipType","daily.temperatureHigh","daily.temperatureHighTime","daily.temperatureLow","daily.temperatureLowTime","daily.apparentTemperatureHigh","daily.apparentTemperatureHighTime","daily.apparentTemperatureLow","daily.apparentTemperatureLowTime","daily.dewPoint","daily.humidity","daily.pressure","daily.windSpeed","daily.windGust","daily.windGustTime","daily.windBearing","daily.cloudCover","daily.uvIndex","daily.uvIndexTime","daily.visibility","daily.temperatureMin","daily.temperatureMinTime","daily.temperatureMax","daily.temperatureMaxTime","daily.apparentTemperatureMin","daily.apparentTemperatureMinTime","daily.apparentTemperatureMax","daily.apparentTemperatureMaxTime","id","location","home.team","latitude","longitude","daily.precipAccumulation"
2010-08-14,"Light rain in the morning.","rain",2010-08-14 05:49:52,2010-08-14 20:37:23,0.16,0.006,0.0331,2010-08-14 07:00:00,0.94,"rain",62.77,1281805200,55.57,1281830400,62.77,1281805200,55.57,1281830400,53.75,0.87,1018.31,3.4,12.97,1281798000,3,0.61,5,1281790800,5.75,53.24,2010-08-14 06:00:00,62.77,2010-08-14 18:00:00,53.24,2010-08-14 06:00:00,62.77,2010-08-14 18:00:00,"1011-01","Birmingham","Aston Villa",52.50916667,-1.88472222,
2010-08-14,"Partly cloudy until evening.","partly-cloudy-day",2010-08-14 05:48:24,2010-08-14 20:43:41,0.16,0.0032,0.0164,2010-08-14 06:00:00,0.94,"rain",67.86,1281798000,55.24,1281848400,67.86,1281798000,55.24,1281848400,52.33,0.77,1019.81,4.1,13.28,1281798000,30,0.39,5,1281783600,5.94,53.55,2010-08-14 05:00:00,67.86,2010-08-14 16:00:00,53.55,2010-08-14 05:00:00,67.86,2010-08-14 16:00:00,"1011-02","Blackburn","Blackburn",53.72861111,-2.48916667,
2010-08-14,"Partly cloudy until evening.","partly-cloudy-day",2010-08-14 05:49:04,2010-08-14 20:43:23,0.16,0.0026,0.0205,2010-08-14 07:00:00,0.7,"rain",68.19,1281801600,55.54,1281848400,68.19,1281801600,55.54,1281848400,52.48,0.77,1019.63,3.82,11.93,1281794400,32,0.38,5,1281783600,5.97,53.91,2010-08-14 07:00:00,68.19,2010-08-14 17:00:00,53.91,2010-08-14 07:00:00,68.19,2010-08-14 17:00:00,"1011-03","Bolton","Bolton",53.58055556,-2.53555556,
2010-08-14,"Light rain in the evening.","rain",2010-08-14 05:46:11,2010-08-14 20:27:31,0.16,0.0038,0.0299,2010-08-14 17:00:00,0.69,"rain",63.9,1281790800,56,1281841200,63.9,1281790800,56,1281841200,54.71,0.86,1017.26,1.61,5.53,1281798000,339,0.61,5,1281787200,6.14,55.83,2010-08-14 05:00:00,63.9,2010-08-14 14:00:00,55.83,2010-08-14 05:00:00,63.9,2010-08-14 14:00:00,"1011-04","London","Chelsea",51.48166667,-0.19111111,
2010-08-14,"Light rain in the morning.","rain",2010-08-14 05:39:58,2010-08-14 20:43:19,0.16,0.0061,0.0455,2010-08-14 04:00:00,1,"rain",64.97,1281787200,56.68,1281830400,64.97,1281787200,56.68,1281830400,55.38,0.86,1021.58,7.54,17.44,1281751200,24,0.69,4,1281783600,5.52,54.92,2010-08-14 03:00:00,64.97,2010-08-14 13:00:00,54.92,2010-08-14 03:00:00,64.97,2010-08-14 13:00:00,"1011-05","Sunderland","Sunderland",54.91444444,-1.38833333,
2010-08-14,"Mostly cloudy until evening.","partly-cloudy-day",2010-08-14 05:45:20,2010-08-14 20:27:22,0.16,0.0026,0.0149,2010-08-14 17:00:00,0.51,"rain",63.99,1281790800,56.48,1281837600,63.99,1281790800,56.48,1281837600,54.67,0.85,1017.23,1.51,5.92,1281798000,352,0.61,5,1281787200,6.07,56.02,2010-08-14 05:00:00,63.99,2010-08-14 14:00:00,56.02,2010-08-14 05:00:00,63.99,2010-08-14 14:00:00,"1011-06","London","Tottenham",51.60333333,-0.06583333,
2010-08-14,"Partly cloudy until evening.","partly-cloudy-day",2010-08-14 05:49:39,2010-08-14 20:43:45,0.16,0.0023,0.0176,2010-08-14 07:00:00,0.62,"rain",69.24,1281801600,56.07,1281848400,69.24,1281801600,56.07,1281848400,52.51,0.75,1019.7,3.93,12.2,1281794400,31,0.37,5,1281783600,6.03,55.02,2010-08-14 05:00:00,69.24,2010-08-14 17:00:00,55.02,2010-08-14 05:00:00,69.24,2010-08-14 17:00:00,"1011-07","Wigan","Wigan",53.5475,-2.65416667,
2010-08-14,"Light rain in the morning.","rain",2010-08-14 05:50:36,2010-08-14 20:38:37,0.16,0.0062,0.0382,2010-08-14 07:00:00,1,"rain",63.07,1281808800,55.45,1281830400,63.07,1281808800,55.45,1281830400,53.26,0.86,1018.66,3.23,12.71,1281798000,5,0.62,5,1281790800,5.9,52.68,2010-08-14 07:00:00,63.07,2010-08-14 19:00:00,52.68,2010-08-14 07:00:00,63.07,2010-08-14 19:00:00,"1011-08","Wolverhampton","Wolves",52.59027778,-2.13027778,
2010-08-15,"Partly cloudy in the afternoon.","partly-cloudy-day",2010-08-15 05:53:00,2010-08-15 20:42:30,0.2,0,0,,0,,71.58,1281884400,54.78,1281934800,71.58,1281884400,54.78,1281934800,54.51,0.75,1023.54,3.17,11.84,1281895200,342,0.29,6,1281873600,5.97,55.12,2010-08-15 06:00:00,71.58,2010-08-15 16:00:00,55.12,2010-08-15 06:00:00,71.58,2010-08-15 16:00:00,"1011-09","Liverpool","Liverpool",53.43083333,-2.96083333,
2010-08-16,"Rain overnight.","rain",2010-08-16 05:51:58,2010-08-16 20:37:48,0.24,0,0,,0,,71.67,1281963600,57.17,1282014000,71.67,1281963600,57.17,1282014000,52.5,0.72,1017.83,3.5,14.49,1281967200,303,0.22,6,1281960000,5.46,53.73,2010-08-16 06:00:00,71.67,2010-08-16 14:00:00,53.73,2010-08-16 06:00:00,71.67,2010-08-16 14:00:00,"1011-10","Trafford","Man United",53.46305556,-2.29138889,
