"daily.time","daily.summary","daily.icon","daily.sunriseTime","daily.sunsetTime","daily.moonPhase","daily.precipIntensity","daily.precipIntensityMax","daily.precipIntensityMaxTime","daily.precipProbability","daily.precipType","daily.temperatureHigh","daily.temperatureHighTime","daily.temperatureLow","daily.temperatureLowTime","daily.apparentTemperatureHigh","daily.apparentTemperatureHighTime","daily.apparentTemperatureLow","daily.apparentTemperatureLowTime","daily.dewPoint","daily.humidity","daily.pressure","daily.windSpeed","daily.windGust","daily.windGustTime","daily.windBearing","daily.cloudCover","daily.uvIndex","daily.uvIndexTime","daily.visibility","daily.temperatureMin","daily.temperatureMinTime","daily.temperatureMax","daily.temperatureMaxTime","daily.apparentTemperatureMin","daily.apparentTemperatureMinTime","daily.apparentTemperatureMax","daily.apparentTemperatureMaxTime","id","location","home.team","latitude","longitude","daily.precipAccumulation"
2016-05-11,"Mostly cloudy in the morning.","partly-cloudy-night",2016-05-11 05:18:43,2016-05-11 21:00:25,0.17,0.0011,0.0097,2016-05-11 06:00:00,0.59,"rain",66.74,1462982400,52.86,1463029200,66.74,1462982400,52.86,1463029200,53.83,0.85,1006.06,5.39,11.77,1462982400,59,0.35,7,1462968000,5.55,53.64,2016-05-11 06:00:00,66.74,2016-05-11 17:00:00,53.64,2016-05-11 06:00:00,66.74,2016-05-11 17:00:00,"1516-01","Liverpool","Liverpool",53.43083333,-2.96083333,
2016-05-08,"Partly cloudy in the evening.","partly-cloudy-day",2016-05-08 05:24:01,2016-05-08 20:55:14,0.07,0,6e-04,2016-05-08 00:00:00,0,,76.83,1462726800,56.59,1462770000,76.83,1462726800,56.59,1462770000,51.97,0.67,1007.07,4.87,14.9,1462723200,107,0.16,7,1462705200,5.64,53.39,2016-05-08 04:00:00,76.83,2016-05-08 18:00:00,53.39,2016-05-08 04:00:00,76.83,2016-05-08 18:00:00,"1516-02","Liverpool","Liverpool",53.43083333,-2.96083333,
2016-04-23,"Partly cloudy starting in the afternoon.","partly-cloudy-night",2016-04-23 05:54:03,2016-04-23 20:28:18,0.54,0,0,,0,,50.74,1461420000,39.11,1461474000,50.74,1461420000,39.11,1461474000,33.97,0.68,1023.16,4.85,14.55,1461427200,327,0.24,6,1461412800,6.22,34.96,2016-04-23 06:00:00,50.74,2016-04-23 15:00:00,34.96,2016-04-23 06:00:00,50.74,2016-04-23 15:00:00,"1516-03","Liverpool","Liverpool",53.43083333,-2.96083333,
2016-04-20,"Clear throughout the day.","clear-day",2016-04-20 06:00:37,2016-04-20 20:22:50,0.45,0,0,,0,,62.09,1461164400,38.41,1461214800,62.09,1461164400,38.41,1461214800,36.95,0.63,1030.32,2.59,9.74,1461157200,127,,5,1461150000,6.22,39.12,2016-04-20 06:00:00,62.09,2016-04-20 16:00:00,39.12,2016-04-20 06:00:00,62.09,2016-04-20 16:00:00,"1516-04","Liverpool","Liverpool",53.43083333,-2.96083333,
2016-04-10,"Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-day",2016-04-10 06:23:30,2016-04-10 20:04:37,0.11,0,4e-04,2016-04-10 09:00:00,0,,55.2,1460296800,43.82,1460336400,55.2,1460296800,39.77,1460336400,35.41,0.74,1006.57,5.83,16.87,1460307600,105,0.16,5,1460289600,6.18,32.28,2016-04-10 06:00:00,55.2,2016-04-10 15:00:00,32.28,2016-04-10 06:00:00,55.2,2016-04-10 15:00:00,"1516-05","Liverpool","Liverpool",53.43083333,-2.96083333,
2016-04-02,"Mostly cloudy until evening.","partly-cloudy-day",2016-04-02 06:42:34,2016-04-02 19:50:07,0.82,0.0033,0.0142,2016-04-02 13:00:00,0.6,"rain",52.75,1459616400,42.53,1459663200,52.75,1459616400,42.53,1459663200,44.28,0.88,1008.87,4.92,12.88,1459555200,156,0.49,3,1459594800,6.13,45.05,2016-04-02 23:00:00,52.75,2016-04-02 18:00:00,42.1,2016-04-02 07:00:00,52.75,2016-04-02 18:00:00,"1516-06","Liverpool","Liverpool",53.43083333,-2.96083333,
2016-03-02,"Mostly cloudy throughout the day.","partly-cloudy-day",2016-03-02 06:57:20,2016-03-02 17:53:17,0.77,0.0045,0.0279,2016-03-02 11:00:00,0.76,"rain",43.63,1456945200,37.63,1456977600,36.94,1456930800,34.44,1456974000,35.87,0.82,996.59,11.32,34.02,1456952400,286,0.57,2,1456916400,6.1,36.75,2016-03-02 10:00:00,43.98,2016-03-02 21:00:00,28.58,2016-03-02 10:00:00,36.94,2016-03-02 15:00:00,"1516-07","Liverpool","Liverpool",53.43083333,-2.96083333,
2016-02-06,"Partly cloudy throughout the day.","partly-cloudy-day",2016-02-06 07:50:01,2016-02-06 17:04:21,0.92,0.0039,0.0157,2016-02-06 13:00:00,0.93,"rain",48.1,1454774400,38.22,1454832000,44.04,1454781600,32.65,1454832000,40.72,0.91,990.26,5.01,16.34,1454774400,170,0.51,1,1454756400,6.09,38.51,2016-02-06 04:00:00,48.1,2016-02-06 16:00:00,36.12,2016-02-06 04:00:00,44.04,2016-02-06 18:00:00,"1516-08","Liverpool","Liverpool",53.43083333,-2.96083333,
2016-01-17,"Mostly cloudy throughout the day.","partly-cloudy-day",2016-01-17 08:19:08,2016-01-17 16:26:36,0.27,0.0038,0.0116,2016-01-17 02:00:00,0.65,"rain",36.55,1453042800,36.32,1453060800,31.75,1453042800,30.6,1453060800,33.57,0.95,1022.52,6.2,10.88,1453068000,134,0.85,1,1453032000,5.53,33.08,2016-01-17 06:00:00,37.52,2016-01-17 23:00:00,27.36,2016-01-17 07:00:00,32.05,2016-01-17 23:00:00,"1516-09","Liverpool","Liverpool",53.43083333,-2.96083333,
2016-01-13,"Light rain overnight.","rain",2016-01-13 08:22:52,2016-01-13 16:20:01,0.12,0.0042,0.0347,2016-01-13 23:00:00,1,"rain",41.14,1452686400,35.75,1452744000,38.48,1452682800,31.32,1452758400,35.64,0.86,1009.33,3.56,12.91,1452643200,229,0.46,0,1452643200,6.21,36.8,2016-01-13 23:00:00,41.68,2016-01-13 00:00:00,32.66,2016-01-13 22:00:00,38.48,2016-01-13 11:00:00,"1516-10","Liverpool","Liverpool",53.43083333,-2.96083333,
