"daily.time","daily.summary","daily.icon","daily.sunriseTime","daily.sunsetTime","daily.moonPhase","daily.precipIntensity","daily.precipIntensityMax","daily.precipProbability","daily.temperatureHigh","daily.temperatureHighTime","daily.temperatureLow","daily.temperatureLowTime","daily.apparentTemperatureHigh","daily.apparentTemperatureHighTime","daily.apparentTemperatureLow","daily.apparentTemperatureLowTime","daily.dewPoint","daily.humidity","daily.pressure","daily.windSpeed","daily.windGust","daily.windGustTime","daily.windBearing","daily.cloudCover","daily.uvIndex","daily.uvIndexTime","daily.visibility","daily.temperatureMin","daily.temperatureMinTime","daily.temperatureMax","daily.temperatureMaxTime","daily.apparentTemperatureMin","daily.apparentTemperatureMinTime","daily.apparentTemperatureMax","daily.apparentTemperatureMaxTime","id","location","home.team","latitude","longitude","daily.precipIntensityMaxTime","daily.precipType","daily.precipAccumulation"
2015-05-16,"Partly cloudy until afternoon.","partly-cloudy-day",2015-05-16 05:11:42,2015-05-16 21:07:32,0.94,0,0,0,56.55,1431792000,46.35,1431835200,56.55,1431792000,41.83,1431828000,43.2,0.7,1023.25,9.1,19.5,1431784800,278,0.46,6,1431774000,6.2,48.85,2015-05-16 23:00:00,56.55,2015-05-16 17:00:00,46.77,2015-05-16 23:00:00,56.55,2015-05-16 17:00:00,"1415-01","Liverpool","Liverpool",53.43083333,-2.96083333,,,
2015-05-02,"Mostly cloudy throughout the day.","partly-cloudy-day",2015-05-02 05:36:54,2015-05-02 20:43:14,0.44,0.0017,0.0108,0.7,47.81,1430564400,45.4,1430614800,44.58,1430564400,41.26,1430618400,38.36,0.78,1009.12,5.89,15.45,1430568000,113,0.63,5,1430568000,6.22,41.25,2015-05-02 06:00:00,47.81,2015-05-02 12:00:00,38.63,2015-05-02 07:00:00,44.58,2015-05-02 12:00:00,"1415-02","Liverpool","Liverpool",53.43083333,-2.96083333,2015-05-02 15:00:00,"rain",
2015-04-13,"Partly cloudy throughout the day.","partly-cloudy-day",2015-04-13 06:18:15,2015-04-13 20:08:42,0.8,0,0,0,56.55,1428944400,48.52,1428987600,56.55,1428944400,45.5,1428980400,40.46,0.82,1028.18,3.39,10.17,1428948000,193,0.42,4,1428922800,6.21,34.15,2015-04-13 06:00:00,56.55,2015-04-13 18:00:00,34.15,2015-04-13 06:00:00,56.55,2015-04-13 18:00:00,"1415-03","Liverpool","Liverpool",53.43083333,-2.96083333,,,
2015-03-22,"Mostly cloudy in the morning.","partly-cloudy-night",2015-03-22 06:11:06,2015-03-22 18:28:55,0.08,0,0,0,50.04,1427032800,38.02,1427076000,50.04,1427032800,37.79,1427086800,32.88,0.74,1025.99,1.09,7.45,1427025600,180,0.47,3,1427022000,6.22,30.87,2015-03-22 06:00:00,50.04,2015-03-22 14:00:00,30.87,2015-03-22 06:00:00,50.04,2015-03-22 14:00:00,"1415-04","Liverpool","Liverpool",53.43083333,-2.96083333,,,
2015-03-04,"Partly cloudy until afternoon.","partly-cloudy-day",2015-03-04 06:54:26,2015-03-04 17:55:39,0.46,1e-04,0.0022,0.24,46.42,1425477600,37.94,1425531600,41.83,1425484800,35.81,1425538800,35.61,0.78,1028.99,7.93,17.55,1425463200,277,0.35,2,1425466800,6.21,39.29,2015-03-04 23:00:00,46.42,2015-03-04 14:00:00,33.72,2015-03-04 06:00:00,41.83,2015-03-04 16:00:00,"1415-05","Liverpool","Liverpool",53.43083333,-2.96083333,2015-03-04 07:00:00,"rain",
2015-03-01,"Partly cloudy throughout the day.","partly-cloudy-day",2015-03-01 07:01:24,2015-03-01 17:49:57,0.37,0.002,0.0206,0.62,45.47,1425211200,37.68,1425279600,40.25,1425214800,29.94,1425283200,35.23,0.76,994.4,9.19,24.62,1425171600,252,0.45,2,1425207600,6.15,38.35,2015-03-01 18:00:00,47.16,2015-03-01 00:00:00,33.62,2015-03-01 17:00:00,41.37,2015-03-01 00:00:00,"1415-06","Liverpool","Liverpool",53.43083333,-2.96083333,2015-03-01 15:00:00,"rain",
2015-02-10,"Overcast throughout the day.","cloudy",2015-02-10 07:42:03,2015-02-10 17:12:47,0.7,0,0,0,40.22,1423566000,36.13,1423641600,40.22,1423566000,34.79,1423616400,36.21,0.88,1032.09,1.09,6.59,1423605600,205,0.97,1,1423566000,5.28,36.64,2015-02-10 21:00:00,41.44,2015-02-10 00:00:00,35.36,2015-02-10 19:00:00,41.44,2015-02-10 00:00:00,"1415-07","Liverpool","Liverpool",53.43083333,-2.96083333,,,
2015-01-31,"Partly cloudy throughout the day.","partly-cloudy-day",2015-01-31 07:59:57,2015-01-31 16:53:00,0.39,0.0028,0.0218,0.91,41.98,1422712800,37.44,1422777600,35.6,1422712800,29.67,1422763200,32.51,0.77,988.02,10.32,23.1,1422705600,322,0.45,1,1422702000,6.18,37.04,2015-01-31 00:00:00,41.98,2015-01-31 14:00:00,30.44,2015-01-31 21:00:00,35.6,2015-01-31 14:00:00,"1415-08","Liverpool","Liverpool",53.43083333,-2.96083333,2015-01-31 05:00:00,"rain",
2015-01-01,"Light rain starting in the afternoon, continuing until evening.","rain",2015-01-01 08:28:46,2015-01-01 16:04:09,0.38,0.0029,0.0284,0.96,55.09,1420138800,44.19,1420185600,55.09,1420138800,37.89,1420182000,48.42,0.87,1017.57,8.76,21.85,1420135200,200,0.71,0,1420070400,6.22,48.16,2015-01-01 01:00:00,55.68,2015-01-01 22:00:00,45.08,2015-01-01 00:00:00,55.68,2015-01-01 22:00:00,"1415-09","Liverpool","Liverpool",53.43083333,-2.96083333,2015-01-01 15:00:00,"rain",
2014-12-29,"Partly cloudy starting in the afternoon.","partly-cloudy-night",2014-12-29 08:28:58,2014-12-29 16:01:09,0.27,1e-04,0.0014,0.28,41.95,1419861600,31.94,1419915600,39.99,1419861600,31.94,1419915600,31.99,0.9,1040.51,1.15,7.35,1419865200,244,0.37,0,1419811200,5.57,30.21,2014-12-29 08:00:00,41.95,2014-12-29 14:00:00,30.21,2014-12-29 08:00:00,39.99,2014-12-29 14:00:00,"1415-10","Liverpool","Liverpool",53.43083333,-2.96083333,2014-12-29 14:00:00,"rain",
2014-12-21,"Partly cloudy throughout the day.","partly-cloudy-day",2014-12-21 08:26:50,2014-12-21 15:55:38,0.97,0,0,0,53.77,1419184800,52.99,1419192000,53.77,1419184800,52.99,1419192000,44.93,0.83,1020.27,9.4,25.88,1419174000,231,0.54,0,1419120000,6.16,45.73,2014-12-21 01:00:00,53.77,2014-12-21 18:00:00,42.74,2014-12-21 03:00:00,53.77,2014-12-21 18:00:00,"1415-11","Liverpool","Liverpool",53.43083333,-2.96083333,,,
2014-12-06,"Partly cloudy throughout the day.","partly-cloudy-night",2014-12-06 08:13:00,2014-12-06 15:55:44,0.51,0,3e-04,0,45.88,1417874400,46.23,1417896000,43.24,1417878000,41.03,1417939200,37.19,0.88,1024.95,2.51,7.93,1417903200,201,0.38,0,1417824000,6.17,33.94,2014-12-06 07:00:00,48.06,2014-12-06 23:00:00,33.94,2014-12-06 07:00:00,46.21,2014-12-06 23:00:00,"1415-12","Liverpool","Liverpool",53.43083333,-2.96083333,2014-12-06 05:00:00,,
2014-11-29,"Mostly cloudy throughout the day.","partly-cloudy-night",2014-11-29 08:02:59,2014-11-29 16:00:21,0.25,0,9e-04,0,51.22,1417262400,47.35,1417334400,51.22,1417262400,47.32,1417330800,47.37,0.92,1010.19,2.9,8.91,1417262400,131,0.59,0,1417219200,4.67,47.69,2014-11-29 04:00:00,51.22,2014-11-29 12:00:00,47.57,2014-11-29 09:00:00,51.22,2014-11-29 12:00:00,"1415-13","Liverpool","Liverpool",53.43083333,-2.96083333,2014-11-29 03:00:00,,
2014-11-08,"Partly cloudy throughout the day.","partly-cloudy-day",2014-11-08 07:25:30,2014-11-08 16:28:18,0.56,8e-04,0.0107,0.76,53.1,1415458800,41.32,1415520000,53.1,1415458800,38.66,1415502000,44.01,0.87,994.52,5.41,16.75,1415462400,174,0.44,1,1415440800,6.17,43.84,2014-11-08 06:00:00,53.1,2014-11-08 15:00:00,40.17,2014-11-08 08:00:00,53.1,2014-11-08 15:00:00,"1415-14","Liverpool","Liverpool",53.43083333,-2.96083333,2014-11-08 12:00:00,"rain",
2014-10-25,"Mostly cloudy throughout the day.","partly-cloudy-day",2014-10-25 07:58:35,2014-10-25 17:55:32,0.05,0,0,0,57.57,1414245600,54.69,1414278000,57.57,1414245600,54.69,1414278000,46.93,0.81,1013.48,5.59,13.88,1414238400,215,0.57,1,1414231200,6.2,47.81,2014-10-25 04:00:00,57.57,2014-10-25 15:00:00,45.92,2014-10-25 04:00:00,57.57,2014-10-25 15:00:00,"1415-15","Liverpool","Liverpool",53.43083333,-2.96083333,,,
2014-10-04,"Partly cloudy until afternoon.","partly-cloudy-day",2014-10-04 07:19:57,2014-10-04 18:43:29,0.35,0.005,0.0408,0.61,56.14,1412431200,43.67,1412488800,56.14,1412431200,42.76,1412485200,47.2,0.77,1011.44,4.02,20.66,1412395200,251,0.43,2,1412416800,6.11,48,2014-10-04 23:00:00,61.12,2014-10-04 00:00:00,47.24,2014-10-04 23:00:00,61.12,2014-10-04 00:00:00,"1415-16","Liverpool","Liverpool",53.43083333,-2.96083333,2014-10-04 07:00:00,"rain",
2014-09-27,"Partly cloudy throughout the day.","partly-cloudy-day",2014-09-27 07:07:36,2014-09-27 19:00:31,0.1,0,7e-04,0,64.19,1411830000,55.67,1411862400,64.19,1411830000,55.67,1411862400,49.36,0.84,1025.26,1.57,8.84,1411822800,207,0.51,3,1411819200,6.15,44.54,2014-09-27 04:00:00,64.19,2014-09-27 16:00:00,44.54,2014-09-27 04:00:00,64.19,2014-09-27 16:00:00,"1415-17","Liverpool","Liverpool",53.43083333,-2.96083333,2014-09-27 09:00:00,,
2014-09-13,"Partly cloudy throughout the day.","partly-cloudy-day",2014-09-13 06:43:23,2014-09-13 19:35:00,0.66,0,0,0,67.34,1410616800,51.08,1410667200,67.34,1410616800,51.08,1410667200,52.95,0.76,1027.66,2.5,8.7,1410609600,106,0.49,4,1410609600,5.96,56.56,2014-09-13 07:00:00,67.34,2014-09-13 15:00:00,56.56,2014-09-13 07:00:00,67.34,2014-09-13 15:00:00,"1415-18","Liverpool","Liverpool",53.43083333,-2.96083333,,,
